ACCIDENT_NO,SEVERITY,SPEED_ZONE,Region,Order1,Order2,Order3,Order
T20150016602,Minor,60 km/hr,Metro,1,,,1
T20150016603,Minor,60 km/hr,Metro,1,,,1
T20150016981,Minor,100 km/hr,Country,1,,,1
T20150016982,Serious,60 km/hr,Metro,,2,,2
T20150016983,Minor,60 km/hr,Metro,1,,,1
T20150016985,Serious,60 km/hr,Country,,2,,2
T20150016987,Minor,60 km/hr,Country,1,,,1
T20150016988,Minor,50 km/hr,Country,1,,,1
T20150016993,Minor,60 km/hr,Country,1,,,1
T20150016997,Fatal,100 km/hr,Country,,,3,3
T20150016999,Minor,60 km/hr,Metro,1,,,1
T20150017000,Minor,50 km/hr,Metro,1,,,1
T20150017001,Minor,60 km/hr,Metro,1,,,1
T20150017003,Minor,60 km/hr,Metro,1,,,1
T20150017006,Minor,50 km/hr,Metro,1,,,1
T20150017427,Minor,60 km/hr,Metro,1,,,1
T20150017430,Serious,100 km/hr,Country,,2,,2
T20150017431,Minor,80 km/hr,Metro,1,,,1
T20150017432,Serious,60 km/hr,Metro,,2,,2
T20150017433,Minor,Not known,Metro,1,,,1
T20150017434,Serious,70 km/hr,Metro,,2,,2
T20150017435,Serious,100 km/hr,Country,,2,,2
T20150017436,Minor,40 km/hr,Metro,1,,,1
T20150017438,Minor,Not known,Metro,1,,,1
T20150017439,Minor,50 km/hr,Metro,1,,,1
T20150017440,Serious,60 km/hr,Metro,,2,,2
T20150017443,Minor,50 km/hr,Metro,1,,,1
T20150017444,Serious,80 km/hr,Country,,2,,2
T20150017820,Minor,Not known,Metro,1,,,1
T20150017821,Minor,100 km/hr,Country,1,,,1
T20150017822,Minor,110 km/hr,Metro,1,,,1
T20150017824,Minor,60 km/hr,Metro,1,,,1
T20150017827,Minor,50 km/hr,Metro,1,,,1
T20150017831,Serious,40 km/hr,Metro,,2,,2
T20150017832,Minor,60 km/hr,Country,1,,,1
T20150017833,Minor,60 km/hr,Metro,1,,,1
T20150017838,Serious,40 km/hr,Metro,,2,,2
T20150017840,Minor,50 km/hr,Metro,1,,,1
T20150017842,Minor,60 km/hr,Metro,1,,,1
T20150017843,Minor,60 km/hr,Metro,1,,,1
T20150017844,Minor,60 km/hr,Metro,1,,,1
T20150016604,Minor,60 km/hr,Metro,1,,,1
T20150016606,Minor,60 km/hr,Country,1,,,1
T20150016611,Minor,70 km/hr,Country,1,,,1
T20150016612,Minor,60 km/hr,Metro,1,,,1
T20150016614,Minor,80 km/hr,Metro,1,,,1
T20150016615,Minor,60 km/hr,Country,1,,,1
T20150016617,Minor,60 km/hr,Country,1,,,1
T20150016618,Serious,40 km/hr,Metro,,2,,2
T20150016619,Serious,100 km/hr,Country,,2,,2
T20150016621,Minor,60 km/hr,Country,1,,,1
T20150016622,Minor,50 km/hr,Country,1,,,1
T20150016625,Minor,50 km/hr,Metro,1,,,1
T20150016626,Minor,60 km/hr,Metro,1,,,1
T20150017007,Serious,60 km/hr,Metro,,2,,2
T20150017009,Minor,80 km/hr,Metro,1,,,1
T20150017010,Minor,80 km/hr,Metro,1,,,1
T20150017013,Serious,80 km/hr,Metro,,2,,2
T20150017014,Minor,60 km/hr,Metro,1,,,1
T20150017015,Minor,40 km/hr,Metro,1,,,1
T20150017016,Minor,60 km/hr,Metro,1,,,1
T20150017017,Minor,60 km/hr,Metro,1,,,1
T20150017019,Minor,60 km/hr,Metro,1,,,1
T20150017021,Serious,50 km/hr,Country,,2,,2
T20150017022,Minor,80 km/hr,Metro,1,,,1
T20150017023,Fatal,50 km/hr,Country,,,3,3
T20150017024,Minor,50 km/hr,Country,1,,,1
T20150017446,Serious,80 km/hr,Metro,,2,,2
T20150017447,Minor,60 km/hr,Metro,1,,,1
T20150017448,Minor,50 km/hr,Metro,1,,,1
T20150017449,Minor,60 km/hr,Metro,1,,,1
T20150017453,Minor,50 km/hr,Metro,1,,,1
T20150017454,Minor,60 km/hr,Metro,1,,,1
T20150017457,Minor,60 km/hr,Metro,1,,,1
T20150017458,Minor,80 km/hr,Metro,1,,,1
T20150017459,Serious,100 km/hr,Country,,2,,2
T20150017461,Serious,100 km/hr,Country,,2,,2
T20150017462,Minor,80 km/hr,Metro,1,,,1
T20150017463,Minor,60 km/hr,Metro,1,,,1
T20150017466,Minor,100 km/hr,Country,1,,,1
T20150017849,Minor,50 km/hr,Country,1,,,1
T20150017850,Minor,100 km/hr,Country,1,,,1
T20150017851,Minor,80 km/hr,Metro,1,,,1
T20150017852,Minor,110 km/hr,Metro,1,,,1
T20150017854,Fatal,70 km/hr,Metro,,,3,3
T20150017855,Minor,60 km/hr,Metro,1,,,1
T20150017856,Minor,80 km/hr,Metro,1,,,1
T20150017861,Minor,100 km/hr,Metro,1,,,1
T20150017872,Serious,100 km/hr,Metro,,2,,2
T20150017876,Minor,60 km/hr,Metro,1,,,1
T20150017877,Minor,60 km/hr,Country,1,,,1
T20150017881,Minor,40 km/hr,Metro,1,,,1
T20150017882,Serious,40 km/hr,Metro,,2,,2
T20150016627,Minor,60 km/hr,Metro,1,,,1
T20150016631,Minor,80 km/hr,Metro,1,,,1
T20150016632,Minor,Not known,Metro,1,,,1
T20150016633,Serious,60 km/hr,Metro,,2,,2
T20150016635,Serious,60 km/hr,Country,,2,,2
T20150016639,Minor,80 km/hr,Country,1,,,1
T20150016641,Serious,80 km/hr,Metro,,2,,2
T20150016642,Minor,60 km/hr,Metro,1,,,1
T20150016643,Minor,Not known,Metro,1,,,1
T20150016645,Serious,80 km/hr,Metro,,2,,2
T20150016647,Serious,100 km/hr,Country,,2,,2
T20150016648,Minor,70 km/hr,Metro,1,,,1
T20150016650,Minor,60 km/hr,Metro,1,,,1
T20150017025,Serious,100 km/hr,Metro,,2,,2
T20150017026,Minor,80 km/hr,Metro,1,,,1
T20150017027,Serious,80 km/hr,Metro,,2,,2
T20150017028,Minor,70 km/hr,Metro,1,,,1
T20150017032,Minor,100 km/hr,Metro,1,,,1
T20150017040,Minor,100 km/hr,Country,1,,,1
T20150017041,Serious,80 km/hr,Metro,,2,,2
T20150017044,Minor,60 km/hr,Country,1,,,1
T20150017045,Serious,40 km/hr,Metro,,2,,2
T20150017046,Minor,60 km/hr,Metro,1,,,1
T20150017048,Minor,40 km/hr,Metro,1,,,1
T20150017050,Serious,70 km/hr,Metro,,2,,2
T20150017051,Minor,100 km/hr,Country,1,,,1
T20150017470,Serious,60 km/hr,Metro,,2,,2
T20150017471,Minor,60 km/hr,Country,1,,,1
T20150017474,Minor,70 km/hr,Metro,1,,,1
T20150017475,Minor,100 km/hr,Metro,1,,,1
T20150017476,Minor,60 km/hr,Metro,1,,,1
T20150017477,Serious,40 km/hr,Metro,,2,,2
T20150017478,Minor,60 km/hr,Metro,1,,,1
T20150017481,Minor,60 km/hr,Metro,1,,,1
T20150017482,Minor,50 km/hr,Metro,1,,,1
T20150017483,Serious,60 km/hr,Metro,,2,,2
T20150017484,Serious,60 km/hr,Country,,2,,2
T20150017485,Minor,Not known,Metro,1,,,1
T20150017487,Minor,100 km/hr,Metro,1,,,1
T20150017883,Minor,60 km/hr,Metro,1,,,1
T20150017885,Minor,60 km/hr,Metro,1,,,1
T20150017887,Minor,80 km/hr,Metro,1,,,1
T20150017889,Minor,50 km/hr,Metro,1,,,1
T20150017890,Minor,60 km/hr,Country,1,,,1
T20150017892,Minor,100 km/hr,Country,1,,,1
T20150017893,Serious,50 km/hr,Metro,,2,,2
T20150017894,Serious,80 km/hr,Country,,2,,2
T20150017896,Serious,60 km/hr,Metro,,2,,2
T20150017897,Minor,60 km/hr,Metro,1,,,1
T20150017899,Minor,80 km/hr,Metro,1,,,1
T20150017900,Serious,60 km/hr,Metro,,2,,2
T20150017901,Minor,40 km/hr,Metro,1,,,1
T20150016653,Minor,60 km/hr,Metro,1,,,1
T20150016654,Minor,60 km/hr,Metro,1,,,1
T20150016660,Minor,50 km/hr,Country,1,,,1
T20150016662,Minor,70 km/hr,Metro,1,,,1
T20150016663,Minor,Not known,Metro,1,,,1
T20150016665,Minor,80 km/hr,Metro,1,,,1
T20150016666,Serious,60 km/hr,Metro,,2,,2
T20150016669,Minor,80 km/hr,Country,1,,,1
T20150016673,Minor,60 km/hr,Country,1,,,1
T20150016674,Minor,Not known,Metro,1,,,1
T20150016676,Minor,50 km/hr,Country,1,,,1
T20150016677,Minor,80 km/hr,Metro,1,,,1
T20150016680,Minor,60 km/hr,Country,1,,,1
T20150017052,Minor,60 km/hr,Country,1,,,1
T20150017055,Minor,40 km/hr,Metro,1,,,1
T20150017056,Minor,70 km/hr,Metro,1,,,1
T20150017057,Minor,50 km/hr,Metro,1,,,1
T20150017058,Minor,50 km/hr,Metro,1,,,1
T20150017067,Serious,80 km/hr,Metro,,2,,2
T20150017070,Serious,60 km/hr,Metro,,2,,2
T20150017071,Fatal,80 km/hr,Metro,,,3,3
T20150017072,Serious,60 km/hr,Country,,2,,2
T20150017074,Serious,100 km/hr,Country,,2,,2
T20150017075,Minor,70 km/hr,Metro,1,,,1
T20150017076,Minor,60 km/hr,Metro,1,,,1
T20150017077,Minor,Not known,Metro,1,,,1
T20150017488,Minor,60 km/hr,Metro,1,,,1
T20150017489,Minor,60 km/hr,Metro,1,,,1
T20150017491,Minor,50 km/hr,Country,1,,,1
T20150017493,Minor,100 km/hr,Country,1,,,1
T20150017498,Serious,60 km/hr,Metro,,2,,2
T20150017500,Minor,60 km/hr,Country,1,,,1
T20150017502,Minor,100 km/hr,Metro,1,,,1
T20150017503,Minor,60 km/hr,Metro,1,,,1
T20150017504,Serious,60 km/hr,Metro,,2,,2
T20150017506,Minor,Other speed limit,Metro,1,,,1
T20150017507,Minor,60 km/hr,Metro,1,,,1
T20150017512,Serious,Not known,Country,,2,,2
T20150017514,Minor,60 km/hr,Metro,1,,,1
T20150017904,Minor,100 km/hr,Metro,1,,,1
T20150017907,Minor,Not known,Country,1,,,1
T20150017909,Minor,60 km/hr,Metro,1,,,1
T20150017911,Serious,100 km/hr,Country,,2,,2
T20150017913,Minor,Not known,Metro,1,,,1
T20150017914,Minor,110 km/hr,Country,1,,,1
T20150017915,Serious,60 km/hr,Metro,,2,,2
T20150017916,Minor,50 km/hr,Country,1,,,1
T20150017917,Serious,50 km/hr,Metro,,2,,2
T20150017920,Minor,60 km/hr,Country,1,,,1
T20150017921,Minor,Not known,Metro,1,,,1
T20150017926,Minor,70 km/hr,Metro,1,,,1
T20150017928,Serious,50 km/hr,Metro,,2,,2
T20150016681,Minor,50 km/hr,Metro,1,,,1
T20150016683,Minor,100 km/hr,Metro,1,,,1
T20150016684,Minor,Not known,Metro,1,,,1
T20150016685,Minor,60 km/hr,Metro,1,,,1
T20150016687,Minor,50 km/hr,Metro,1,,,1
T20150016688,Minor,100 km/hr,Country,1,,,1
T20150016690,Minor,40 km/hr,Metro,1,,,1
T20150016693,Minor,70 km/hr,Metro,1,,,1
T20150016694,Minor,50 km/hr,Country,1,,,1
T20150016699,Minor,100 km/hr,Country,1,,,1
T20150016700,Serious,50 km/hr,Metro,,2,,2
T20150016702,Minor,100 km/hr,Country,1,,,1
T20150016703,Minor,Not known,Metro,1,,,1
T20150017078,Minor,80 km/hr,Metro,1,,,1
T20150017079,Minor,60 km/hr,Metro,1,,,1
T20150017083,Minor,70 km/hr,Metro,1,,,1
T20150017085,Minor,50 km/hr,Metro,1,,,1
T20150017088,Minor,100 km/hr,Country,1,,,1
T20150017089,Minor,50 km/hr,Country,1,,,1
T20150017091,Minor,100 km/hr,Metro,1,,,1
T20150017092,Minor,Not known,Metro,1,,,1
T20150017097,Minor,100 km/hr,Country,1,,,1
T20150017099,Minor,80 km/hr,Country,1,,,1
T20150017102,Minor,Not known,Country,1,,,1
T20150017103,Serious,100 km/hr,Country,,2,,2
T20150017105,Minor,50 km/hr,Country,1,,,1
T20150021851,Serious,Not known,Metro,,2,,2
T20150021852,Serious,60 km/hr,Metro,,2,,2
T20150021853,Minor,100 km/hr,Metro,1,,,1
T20150021854,Minor,100 km/hr,Country,1,,,1
T20150021857,Minor,Other speed limit,Metro,1,,,1
T20150021858,Minor,40 km/hr,Metro,1,,,1
T20150021859,Serious,100 km/hr,Country,,2,,2
T20150021861,Minor,70 km/hr,Metro,1,,,1
T20150021864,Serious,80 km/hr,Metro,,2,,2
T20150021865,Minor,60 km/hr,Metro,1,,,1
T20150021867,Minor,80 km/hr,Metro,1,,,1
T20150021869,Serious,80 km/hr,Metro,,2,,2
T20150021870,Serious,100 km/hr,Country,,2,,2
T20150022209,Serious,80 km/hr,Country,,2,,2
T20150022210,Minor,Not known,Metro,1,,,1
T20150022211,Serious,60 km/hr,Metro,,2,,2
T20150022212,Minor,80 km/hr,Country,1,,,1
T20150022217,Minor,60 km/hr,Country,1,,,1
T20150022219,Minor,80 km/hr,Country,1,,,1
T20150022220,Serious,60 km/hr,Metro,,2,,2
T20150022221,Minor,50 km/hr,Country,1,,,1
T20150022226,Minor,60 km/hr,Metro,1,,,1
T20150022228,Minor,80 km/hr,Country,1,,,1
T20150022234,Minor,50 km/hr,Metro,1,,,1
T20150022235,Minor,100 km/hr,Metro,1,,,1
T20150022236,Minor,100 km/hr,Country,1,,,1
T20150022609,Serious,40 km/hr,Metro,,2,,2
T20150022612,Minor,100 km/hr,Metro,1,,,1
T20150022613,Minor,80 km/hr,Metro,1,,,1
T20150022614,Minor,50 km/hr,Metro,1,,,1
T20150022617,Minor,Not known,Metro,1,,,1
T20150022619,Minor,60 km/hr,Metro,1,,,1
T20150022620,Minor,60 km/hr,Metro,1,,,1
T20150022622,Minor,80 km/hr,Metro,1,,,1
T20150022623,Minor,60 km/hr,Metro,1,,,1
T20150022625,Minor,50 km/hr,Metro,1,,,1
T20150022627,Minor,50 km/hr,Country,1,,,1
T20150022630,Minor,Not known,Metro,1,,,1
T20150022631,Minor,60 km/hr,Metro,1,,,1
T20150021504,Minor,50 km/hr,Metro,1,,,1
T20150021505,Serious,100 km/hr,Country,,2,,2
T20150021506,Minor,60 km/hr,Metro,1,,,1
T20150021507,Fatal,60 km/hr,Metro,,,3,3
T20150021511,Serious,60 km/hr,Metro,,2,,2
T20150021512,Minor,60 km/hr,Metro,1,,,1
T20150021513,Minor,60 km/hr,Metro,1,,,1
T20150021514,Minor,60 km/hr,Metro,1,,,1
T20150021515,Minor,80 km/hr,Country,1,,,1
T20150021517,Minor,60 km/hr,Country,1,,,1
T20150021518,Serious,60 km/hr,Country,,2,,2
T20150021519,Minor,60 km/hr,Metro,1,,,1
T20150021520,Minor,100 km/hr,Metro,1,,,1
T20150021871,Serious,80 km/hr,Metro,,2,,2
T20150021872,Minor,50 km/hr,Metro,1,,,1
T20150021873,Minor,80 km/hr,Metro,1,,,1
T20150021874,Minor,50 km/hr,Metro,1,,,1
T20150021876,Minor,50 km/hr,Country,1,,,1
T20150021877,Minor,60 km/hr,Metro,1,,,1
T20150021878,Minor,60 km/hr,Metro,1,,,1
T20150021879,Minor,60 km/hr,Metro,1,,,1
T20150021880,Minor,50 km/hr,Country,1,,,1
T20150021881,Serious,100 km/hr,Country,,2,,2
T20150021883,Minor,60 km/hr,Metro,1,,,1
T20150021884,Minor,60 km/hr,Metro,1,,,1
T20150021885,Fatal,60 km/hr,Metro,,,3,3
T20150022238,Serious,60 km/hr,Metro,,2,,2
T20150022239,Minor,50 km/hr,Metro,1,,,1
T20150022243,Minor,50 km/hr,Metro,1,,,1
T20150022244,Minor,60 km/hr,Metro,1,,,1
T20150022247,Minor,100 km/hr,Metro,1,,,1
T20150022249,Minor,110 km/hr,Country,1,,,1
T20150022250,Minor,Not known,Metro,1,,,1
T20150022251,Minor,40 km/hr,Metro,1,,,1
T20150022254,Minor,60 km/hr,Country,1,,,1
T20150022258,Serious,80 km/hr,Metro,,2,,2
T20150022259,Minor,60 km/hr,Metro,1,,,1
T20150022261,Minor,80 km/hr,Metro,1,,,1
T20150022263,Minor,Not known,Country,1,,,1
T20150022632,Serious,100 km/hr,Country,,2,,2
T20150022633,Serious,100 km/hr,Country,,2,,2
T20150022636,Serious,70 km/hr,Metro,,2,,2
T20150022637,Minor,100 km/hr,Metro,1,,,1
T20150022641,Serious,50 km/hr,Metro,,2,,2
T20150022642,Minor,60 km/hr,Country,1,,,1
T20150022643,Minor,60 km/hr,Metro,1,,,1
T20150022644,Serious,80 km/hr,Metro,,2,,2
T20150022645,Minor,60 km/hr,Metro,1,,,1
T20150022649,Minor,60 km/hr,Country,1,,,1
T20150022650,Minor,80 km/hr,Metro,1,,,1
T20150022653,Minor,60 km/hr,Metro,1,,,1
T20150022656,Minor,60 km/hr,Metro,1,,,1
T20150021521,Serious,80 km/hr,Metro,,2,,2
T20150021522,Minor,100 km/hr,Country,1,,,1
T20150021526,Minor,100 km/hr,Country,1,,,1
T20150021527,Minor,60 km/hr,Metro,1,,,1
T20150021528,Serious,80 km/hr,Metro,,2,,2
T20150021529,Minor,50 km/hr,Country,1,,,1
T20150021531,Serious,Not known,Country,,2,,2
T20150021534,Minor,60 km/hr,Metro,1,,,1
T20150021536,Minor,60 km/hr,Metro,1,,,1
T20150021538,Minor,40 km/hr,Metro,1,,,1
T20150021541,Serious,60 km/hr,Metro,,2,,2
T20150021543,Minor,60 km/hr,Metro,1,,,1
T20150021545,Minor,80 km/hr,Metro,1,,,1
T20150021886,Minor,50 km/hr,Metro,1,,,1
T20150021887,Minor,100 km/hr,Country,1,,,1
T20150021888,Minor,50 km/hr,Metro,1,,,1
T20150021890,Minor,100 km/hr,Metro,1,,,1
T20150021892,Serious,80 km/hr,Metro,,2,,2
T20150021900,Minor,60 km/hr,Country,1,,,1
T20150021905,Minor,50 km/hr,Metro,1,,,1
T20150021908,Serious,60 km/hr,Metro,,2,,2
T20150021910,Minor,60 km/hr,Metro,1,,,1
T20150021912,Minor,60 km/hr,Metro,1,,,1
T20150021913,Minor,Not known,Country,1,,,1
T20150021914,Minor,60 km/hr,Metro,1,,,1
T20150021915,Minor,60 km/hr,Metro,1,,,1
T20150022264,Minor,60 km/hr,Metro,1,,,1
T20150022265,Minor,60 km/hr,Country,1,,,1
T20150022266,Serious,100 km/hr,Country,,2,,2
T20150022267,Serious,80 km/hr,Country,,2,,2
T20150022268,Minor,80 km/hr,Country,1,,,1
T20150022270,Serious,60 km/hr,Metro,,2,,2
T20150022271,Serious,Not known,Metro,,2,,2
T20150022272,Serious,100 km/hr,Metro,,2,,2
T20150022273,Serious,100 km/hr,Country,,2,,2
T20150022274,Serious,60 km/hr,Metro,,2,,2
T20150022275,Minor,100 km/hr,Metro,1,,,1
T20150022276,Minor,60 km/hr,Metro,1,,,1
T20150022277,Serious,60 km/hr,Country,,2,,2
T20150022658,Minor,80 km/hr,Country,1,,,1
T20150022663,Minor,70 km/hr,Metro,1,,,1
T20150022664,Minor,70 km/hr,Metro,1,,,1
T20150022667,Serious,60 km/hr,Metro,,2,,2
T20150022669,Minor,50 km/hr,Metro,1,,,1
T20150022673,Minor,60 km/hr,Metro,1,,,1
T20150022675,Minor,80 km/hr,Metro,1,,,1
T20150022676,Minor,80 km/hr,Metro,1,,,1
T20150022677,Serious,80 km/hr,Country,,2,,2
T20150022678,Minor,60 km/hr,Metro,1,,,1
T20150022679,Minor,60 km/hr,Metro,1,,,1
T20150022681,Serious,50 km/hr,Country,,2,,2
T20150022682,Serious,100 km/hr,Country,,2,,2
T20150021547,Minor,100 km/hr,Country,1,,,1
T20150021549,Serious,100 km/hr,Country,,2,,2
T20150021550,Fatal,100 km/hr,Country,,,3,3
T20150021551,Serious,Not known,Metro,,2,,2
T20150021552,Minor,100 km/hr,Country,1,,,1
T20150021553,Serious,50 km/hr,Metro,,2,,2
T20150021554,Serious,Off road,Metro,,2,,2
T20150021555,Minor,100 km/hr,Country,1,,,1
T20150021557,Minor,60 km/hr,Metro,1,,,1
T20150021558,Minor,40 km/hr,Metro,1,,,1
T20150021560,Minor,60 km/hr,Metro,1,,,1
T20150021561,Minor,60 km/hr,Metro,1,,,1
T20150021562,Serious,70 km/hr,Metro,,2,,2
T20150021916,Minor,100 km/hr,Metro,1,,,1
T20150021917,Minor,60 km/hr,Metro,1,,,1
T20150021918,Minor,50 km/hr,Country,1,,,1
T20150021920,Minor,60 km/hr,Metro,1,,,1
T20150021923,Fatal,80 km/hr,Metro,,,3,3
T20150021925,Minor,60 km/hr,Metro,1,,,1
T20150021927,Serious,60 km/hr,Metro,,2,,2
T20150021928,Minor,50 km/hr,Metro,1,,,1
T20150021931,Serious,80 km/hr,Country,,2,,2
T20150021933,Minor,60 km/hr,Country,1,,,1
T20150021934,Serious,80 km/hr,Metro,,2,,2
T20150021936,Minor,60 km/hr,Metro,1,,,1
T20150021937,Serious,80 km/hr,Metro,,2,,2
T20150022282,Serious,80 km/hr,Metro,,2,,2
T20150022283,Serious,100 km/hr,Country,,2,,2
T20150022285,Minor,40 km/hr,Metro,1,,,1
T20150022293,Minor,60 km/hr,Metro,1,,,1
T20150022294,Serious,100 km/hr,Country,,2,,2
T20150022298,Minor,60 km/hr,Metro,1,,,1
T20150022299,Minor,60 km/hr,Metro,1,,,1
T20150022302,Minor,60 km/hr,Country,1,,,1
T20150022304,Minor,50 km/hr,Metro,1,,,1
T20150022309,Minor,80 km/hr,Metro,1,,,1
T20150022310,Minor,80 km/hr,Metro,1,,,1
T20150022312,Minor,60 km/hr,Metro,1,,,1
T20150022314,Minor,50 km/hr,Metro,1,,,1
T20150022684,Serious,80 km/hr,Country,,2,,2
T20150022685,Minor,Not known,Metro,1,,,1
T20150022686,Minor,100 km/hr,Metro,1,,,1
T20150022698,Minor,Not known,Metro,1,,,1
T20150022701,Minor,60 km/hr,Metro,1,,,1
T20150022705,Minor,100 km/hr,Country,1,,,1
T20150022707,Minor,50 km/hr,Metro,1,,,1
T20150022712,Minor,60 km/hr,Metro,1,,,1
T20150022715,Minor,60 km/hr,Metro,1,,,1
T20150022716,Serious,100 km/hr,Country,,2,,2
T20150022717,Minor,60 km/hr,Country,1,,,1
T20150022719,Minor,60 km/hr,Metro,1,,,1
T20150022720,Minor,100 km/hr,Metro,1,,,1
T20150021563,Minor,50 km/hr,Metro,1,,,1
T20150021565,Minor,60 km/hr,Metro,1,,,1
T20150021566,Minor,70 km/hr,Metro,1,,,1
T20150021567,Minor,Not known,Metro,1,,,1
T20150021569,Serious,80 km/hr,Metro,,2,,2
T20150021573,Serious,80 km/hr,Metro,,2,,2
T20150021577,Minor,60 km/hr,Metro,1,,,1
T20150021579,Minor,80 km/hr,Metro,1,,,1
T20150021584,Minor,50 km/hr,Metro,1,,,1
T20150021586,Minor,80 km/hr,Country,1,,,1
T20150021587,Serious,60 km/hr,Metro,,2,,2
T20150021588,Minor,100 km/hr,Country,1,,,1
T20150021589,Minor,Not known,Metro,1,,,1
T20150021938,Minor,60 km/hr,Country,1,,,1
T20150021939,Minor,60 km/hr,Metro,1,,,1
T20150021941,Minor,60 km/hr,Metro,1,,,1
T20150021942,Minor,Not known,Metro,1,,,1
T20150021946,Minor,60 km/hr,Metro,1,,,1
T20150021951,Minor,60 km/hr,Metro,1,,,1
T20150021953,Serious,60 km/hr,Metro,,2,,2
T20150021954,Minor,40 km/hr,Metro,1,,,1
T20150021955,Minor,60 km/hr,Metro,1,,,1
T20150021958,Minor,60 km/hr,Metro,1,,,1
T20150021962,Minor,100 km/hr,Country,1,,,1
T20150021963,Minor,110 km/hr,Country,1,,,1
T20150021964,Fatal,60 km/hr,Metro,,,3,3
T20150022315,Minor,50 km/hr,Metro,1,,,1
T20150022323,Minor,60 km/hr,Country,1,,,1
T20150022325,Serious,80 km/hr,Metro,,2,,2
T20150022326,Serious,Off road,Metro,,2,,2
T20150022328,Minor,50 km/hr,Metro,1,,,1
T20150022330,Serious,110 km/hr,Country,,2,,2
T20150022331,Serious,40 km/hr,Metro,,2,,2
T20150022332,Serious,100 km/hr,Metro,,2,,2
T20150022335,Serious,80 km/hr,Country,,2,,2
T20150022336,Serious,60 km/hr,Metro,,2,,2
T20150022339,Serious,80 km/hr,Metro,,2,,2
T20150022341,Minor,90 km/hr,Metro,1,,,1
T20150022343,Minor,50 km/hr,Metro,1,,,1
T20150022722,Minor,80 km/hr,Metro,1,,,1
T20150022723,Minor,80 km/hr,Metro,1,,,1
T20150022724,Serious,100 km/hr,Metro,,2,,2
T20150022725,Fatal,100 km/hr,Country,,,3,3
T20150022726,Serious,60 km/hr,Metro,,2,,2
T20150022727,Serious,80 km/hr,Metro,,2,,2
T20150022728,Serious,60 km/hr,Metro,,2,,2
T20150022730,Serious,80 km/hr,Metro,,2,,2
T20150022732,Serious,70 km/hr,Metro,,2,,2
T20150022733,Minor,60 km/hr,Country,1,,,1
T20150022736,Minor,60 km/hr,Metro,1,,,1
T20150022739,Serious,80 km/hr,Country,,2,,2
T20150022743,Minor,Off road,Country,1,,,1
T20150021593,Minor,60 km/hr,Metro,1,,,1
T20150021595,Minor,60 km/hr,Metro,1,,,1
T20150021607,Minor,60 km/hr,Metro,1,,,1
T20150021610,Minor,60 km/hr,Metro,1,,,1
T20150021611,Serious,40 km/hr,Metro,,2,,2
T20150021612,Minor,50 km/hr,Metro,1,,,1
T20150021613,Serious,50 km/hr,Metro,,2,,2
T20150021614,Minor,100 km/hr,Country,1,,,1
T20150021616,Minor,100 km/hr,Country,1,,,1
T20150021617,Serious,60 km/hr,Metro,,2,,2
T20150021619,Minor,60 km/hr,Metro,1,,,1
T20150021621,Minor,50 km/hr,Metro,1,,,1
T20150021623,Minor,60 km/hr,Country,1,,,1
T20150021966,Serious,60 km/hr,Metro,,2,,2
T20150021967,Minor,60 km/hr,Metro,1,,,1
T20150021969,Serious,100 km/hr,Country,,2,,2
T20150021972,Serious,60 km/hr,Metro,,2,,2
T20150021973,Fatal,70 km/hr,Metro,,,3,3
T20150021974,Serious,40 km/hr,Metro,,2,,2
T20150021975,Serious,60 km/hr,Country,,2,,2
T20150021976,Minor,Not known,Metro,1,,,1
T20150021979,Minor,60 km/hr,Metro,1,,,1
T20150021981,Minor,60 km/hr,Metro,1,,,1
T20150021987,Minor,50 km/hr,Metro,1,,,1
T20150021988,Minor,100 km/hr,Metro,1,,,1
T20150021989,Minor,100 km/hr,Metro,1,,,1
T20150022345,Serious,80 km/hr,Metro,,2,,2
T20150022348,Minor,70 km/hr,Metro,1,,,1
T20150022350,Minor,80 km/hr,Metro,1,,,1
T20150022351,Minor,110 km/hr,Country,1,,,1
T20150022352,Fatal,80 km/hr,Metro,,,3,3
T20150022354,Serious,100 km/hr,Country,,2,,2
T20150022355,Serious,70 km/hr,Country,,2,,2
T20150022356,Serious,50 km/hr,Metro,,2,,2
T20150022357,Serious,60 km/hr,Country,,2,,2
T20150022361,Minor,70 km/hr,Metro,1,,,1
T20150022362,Minor,Not known,Metro,1,,,1
T20150022364,Minor,70 km/hr,Metro,1,,,1
T20150022365,Minor,90 km/hr,Metro,1,,,1
T20150021252,Serious,60 km/hr,Metro,,2,,2
T20150021256,Minor,50 km/hr,Metro,1,,,1
T20150021257,Minor,100 km/hr,Country,1,,,1
T20150021258,Fatal,80 km/hr,Metro,,,3,3
T20150021259,Minor,80 km/hr,Metro,1,,,1
T20150021261,Serious,40 km/hr,Metro,,2,,2
T20150021263,Minor,50 km/hr,Country,1,,,1
T20150021264,Minor,60 km/hr,Country,1,,,1
T20150021265,Minor,110 km/hr,Country,1,,,1
T20150021266,Minor,Not known,Metro,1,,,1
T20150021267,Serious,60 km/hr,Metro,,2,,2
T20150021271,Minor,80 km/hr,Metro,1,,,1
T20150021272,Serious,Not known,Metro,,2,,2
T20150021624,Minor,60 km/hr,Metro,1,,,1
T20150021626,Minor,60 km/hr,Country,1,,,1
T20150021628,Minor,80 km/hr,Country,1,,,1
T20150021630,Minor,100 km/hr,Metro,1,,,1
